file,class,method,variable,usage
C:\cwa-server-main\common\federation\src\main\java\app\coronawarn\server\common\federation\client\config\FederationGatewayConfig.java,app.coronawarn.server.common.federation.client.config.FederationGatewayConfig$Ssl,setTrustStorePassword/1[java.lang.String],trustStorePassword,2
C:\cwa-server-main\common\federation\src\main\java\app\coronawarn\server\common\federation\client\config\FederationGatewayConfig.java,app.coronawarn.server.common.federation.client.config.FederationGatewayConfig$Ssl,setKeyStorePassword/1[java.lang.String],keyStorePassword,2
C:\cwa-server-main\common\federation\src\main\java\app\coronawarn\server\common\federation\client\config\FederationGatewayConfig.java,app.coronawarn.server.common.federation.client.config.FederationGatewayConfig$Ssl,setKeyStore/1[java.io.File],keyStore,2
C:\cwa-server-main\common\federation\src\main\java\app\coronawarn\server\common\federation\client\config\FederationGatewayConfig.java,app.coronawarn.server.common.federation.client.config.FederationGatewayConfig$Ssl,setCertificateType/1[java.lang.String],certificateType,2
C:\cwa-server-main\common\federation\src\main\java\app\coronawarn\server\common\federation\client\config\FederationGatewayConfig.java,app.coronawarn.server.common.federation.client.config.FederationGatewayConfig$Ssl,setCertificateDn/1[java.lang.String],certificateDn,2
C:\cwa-server-main\common\federation\src\main\java\app\coronawarn\server\common\federation\client\config\FederationGatewayConfig.java,app.coronawarn.server.common.federation.client.config.FederationGatewayConfig$Ssl,setCertificateSha/1[java.lang.String],certificateSha,2
C:\cwa-server-main\common\federation\src\main\java\app\coronawarn\server\common\federation\client\upload\BatchUploadResponse.java,app.coronawarn.server.common.federation.client.upload.BatchUploadResponse,"BatchUploadResponse/3[java.util.List<java.lang.String>,java.util.List<java.lang.String>,java.util.List<java.lang.String>]",status409,2
C:\cwa-server-main\common\federation\src\main\java\app\coronawarn\server\common\federation\client\upload\BatchUploadResponse.java,app.coronawarn.server.common.federation.client.upload.BatchUploadResponse,"BatchUploadResponse/3[java.util.List<java.lang.String>,java.util.List<java.lang.String>,java.util.List<java.lang.String>]",status500,2
C:\cwa-server-main\common\federation\src\main\java\app\coronawarn\server\common\federation\client\upload\BatchUploadResponse.java,app.coronawarn.server.common.federation.client.upload.BatchUploadResponse,"BatchUploadResponse/3[java.util.List<java.lang.String>,java.util.List<java.lang.String>,java.util.List<java.lang.String>]",status201,2
C:\cwa-server-main\common\federation\src\main\java\app\coronawarn\server\common\federation\client\config\FederationGatewayConfig.java,app.coronawarn.server.common.federation.client.config.FederationGatewayConfig,setBaseUrl/1[java.lang.String],baseUrl,2
C:\cwa-server-main\common\federation\src\main\java\app\coronawarn\server\common\federation\client\config\FederationGatewayConfig.java,app.coronawarn.server.common.federation.client.config.FederationGatewayConfig,setConnectionPoolSize/1[java.lang.Integer],connectionPoolSize,2
C:\cwa-server-main\common\federation\src\main\java\app\coronawarn\server\common\federation\client\config\FederationGatewayConfig.java,app.coronawarn.server.common.federation.client.config.FederationGatewayConfig,setSsl/1[app.coronawarn.server.common.federation.client.config.FederationGatewayConfig.Ssl],ssl,2
C:\cwa-server-main\common\federation\src\main\java\app\coronawarn\server\common\federation\client\callback\RegistrationResponse.java,app.coronawarn.server.common.federation.client.callback.RegistrationResponse,setId/1[java.lang.String],id,2
C:\cwa-server-main\common\federation\src\main\java\app\coronawarn\server\common\federation\client\callback\RegistrationResponse.java,app.coronawarn.server.common.federation.client.callback.RegistrationResponse,"RegistrationResponse/2[java.lang.String,java.lang.String]",id,2
C:\cwa-server-main\common\federation\src\main\java\app\coronawarn\server\common\federation\client\callback\RegistrationResponse.java,app.coronawarn.server.common.federation.client.callback.RegistrationResponse,"RegistrationResponse/2[java.lang.String,java.lang.String]",url,2
C:\cwa-server-main\common\federation\src\main\java\app\coronawarn\server\common\federation\client\callback\RegistrationResponse.java,app.coronawarn.server.common.federation.client.callback.RegistrationResponse,setUrl/1[java.lang.String],url,2
C:\cwa-server-main\common\federation\src\test\java\app\coronawarn\server\common\federation\client\download\FederationGatewayHttpMessageConverterTest.java,app.coronawarn.server.common.federation.client.download.FederationGatewayHttpMessageConverterTest,writeInternalThrowsUnsupportedOperationException/0,outputMessage,1
C:\cwa-server-main\common\federation\src\test\java\app\coronawarn\server\common\federation\client\download\FederationGatewayHttpMessageConverterTest.java,app.coronawarn.server.common.federation.client.download.FederationGatewayHttpMessageConverterTest,writeInternalThrowsUnsupportedOperationException/0,message,1
C:\cwa-server-main\common\federation\src\test\java\app\coronawarn\server\common\federation\client\download\FederationGatewayHttpMessageConverterTest.java,app.coronawarn.server.common.federation.client.download.FederationGatewayHttpMessageConverterTest,"buildHttpInputMessage/3[byte[],java.lang.String,java.lang.String]",headers,4
C:\cwa-server-main\common\federation\src\test\java\app\coronawarn\server\common\federation\client\download\FederationGatewayHttpMessageConverterTest.java,app.coronawarn.server.common.federation.client.download.FederationGatewayHttpMessageConverterTest,"buildHttpInputMessage/3[byte[],java.lang.String,java.lang.String]",batchTag,1
C:\cwa-server-main\common\federation\src\test\java\app\coronawarn\server\common\federation\client\download\FederationGatewayHttpMessageConverterTest.java,app.coronawarn.server.common.federation.client.download.FederationGatewayHttpMessageConverterTest,"buildHttpInputMessage/3[byte[],java.lang.String,java.lang.String]",body,1
C:\cwa-server-main\common\federation\src\test\java\app\coronawarn\server\common\federation\client\download\FederationGatewayHttpMessageConverterTest.java,app.coronawarn.server.common.federation.client.download.FederationGatewayHttpMessageConverterTest,"buildHttpInputMessage/3[byte[],java.lang.String,java.lang.String]",message,3
C:\cwa-server-main\common\federation\src\test\java\app\coronawarn\server\common\federation\client\download\FederationGatewayHttpMessageConverterTest.java,app.coronawarn.server.common.federation.client.download.FederationGatewayHttpMessageConverterTest,"buildHttpInputMessage/3[byte[],java.lang.String,java.lang.String]",nextBatchTag,1
C:\cwa-server-main\common\federation\src\test\java\app\coronawarn\server\common\federation\client\download\FederationGatewayHttpMessageConverterTest.java,app.coronawarn.server.common.federation.client.download.FederationGatewayHttpMessageConverterTest,readInternalThrowsHttpMessageNotReadableExceptionIfPayloadInvalid/0,message,1
