file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\CatVodTVSpider-master\app\src\main\java\com\github\catvod\spider\Imaple.java,com.github.catvod.spider.Imaple$Anonymous1,anonymous,1,1,0,1,4,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,16,3,0,1,1,0,2,5,2,1,2,2,0,0,0,11,-1,0
C:\CatVodTVSpider-master\app\src\main\java\com\github\catvod\crawler\SpiderUrl.java,com.github.catvod.crawler.SpiderUrl,class,1,3,2,1,3,1,0,0,1,0.6666667,0.0,0.0,2,0,2,0,0,0,2,0,0,0,3,1,3,0,0,0,0,0,0,11,0,0,1,0,0,1,0,5,0,3,1,0,0,0,6,1,0
C:\CatVodTVSpider-master\app\src\main\java\com\github\catvod\utils\okhttp\SSLSocketFactoryCompat.java,com.github.catvod.utils.okhttp.SSLSocketFactoryCompat,class,1,3,2,1,25,3,0,26,0,0.6944444,0.44444445,0.44444445,9,0,8,1,0,0,9,0,0,0,4,3,1,1,0,2,2,0,5,86,7,1,4,2,1,16,0,18,0,16,4,1,0,0,49,1,0
C:\CatVodTVSpider-master\app\src\main\java\com\github\catvod\spider\Enlienli.java,com.github.catvod.spider.Enlienli,class,7,8,1,7,32,2,0,18,8,0.375,0.47619048,0.47619048,8,0,7,1,0,0,7,0,0,0,1,0,0,1,0,0,0,0,15,213,14,10,0,7,0,105,17,64,7,63,5,0,0,0,72,1,0
C:\CatVodTVSpider-master\app\src\main\java\com\github\catvod\spider\Buka.java,com.github.catvod.spider.Buka$Anonymous1,anonymous,1,1,0,1,4,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,16,3,0,1,1,0,2,5,2,1,2,2,0,0,0,11,-1,0
C:\CatVodTVSpider-master\app\src\main\java\com\github\catvod\spider\XPath.java,com.github.catvod.spider.XPath,class,11,18,7,11,82,2,5,118,116,0.875,0.24166666,0.3,16,0,10,0,6,0,16,0,0,0,3,0,0,1,2,0,0,0,30,424,19,14,6,18,0,89,24,145,5,93,7,0,0,0,100,1,0
C:\CatVodTVSpider-master\app\src\main\java\com\github\catvod\utils\SSLSocketFactoryCompat.java,com.github.catvod.utils.SSLSocketFactoryCompat$Anonymous1,anonymous,0,0,0,0,3,1,0,0,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,-1,0
C:\CatVodTVSpider-master\app\src\main\java\com\github\catvod\spider\Imaple.java,com.github.catvod.spider.Imaple,class,10,11,1,10,64,2,0,58,0,0.7142858,0.61904764,0.71428573,7,0,6,0,1,0,7,0,0,0,8,2,0,2,6,0,2,0,22,358,12,13,5,7,1,167,38,144,11,124,5,1,0,0,160,1,0
C:\CatVodTVSpider-master\app\src\main\java\com\github\catvod\parser\MixDemo.java,com.github.catvod.parser.MixDemo,class,5,6,1,5,29,1,0,37,1,0.5,1.0,1.0,3,3,2,1,0,0,2,0,0,0,2,2,1,0,0,1,0,0,4,118,7,5,4,3,0,56,15,37,6,30,7,0,0,0,77,1,0
C:\CatVodTVSpider-master\app\src\main\java\com\github\catvod\spider\XPathNfMov.java,com.github.catvod.spider.XPathNfMov,class,4,5,1,4,5,3,0,11,0,0.0,1.0,1.0,2,0,0,0,2,0,2,0,0,0,1,0,0,1,0,0,0,0,3,20,2,0,0,0,0,5,2,6,0,4,2,0,0,0,16,1,0
C:\CatVodTVSpider-master\app\src\main\java\com\github\catvod\demo\MainActivity.java,com.github.catvod.demo.MainActivity$Anonymous1,anonymous,4,4,0,4,8,1,0,26,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,53,0,2,1,3,0,80,6,14,1,13,5,0,0,0,53,-1,0
C:\CatVodTVSpider-master\app\src\main\java\com\github\catvod\utils\okhttp\OKRequest.java,com.github.catvod.utils.okhttp.OKRequest$Anonymous1,anonymous,3,3,0,3,4,1,0,2,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,2,0,0,0,0,0,0,0,1,0,0,0,12,-1,0
